Ε1999Ν2696Α16Π4	1	Κίνηση σε πεζόδρομο	\N
Ε1999Ν2696Α16Π4	2	Κίνηση σε πεζοδρόμιο	\N
Ε1999Ν2696Α34Π2ε	1	Στάθμευση σε πεζοδρόμιο	\N
Ε1999Ν2696Α34Π2ε	2	Στάθμευση σε πλατεία	\N
Ε1999Ν2696Α34Π2ε	3	Στάθμευση σε ποδηλατόδρομο	\N
Ε1999Ν2696Α34Π3ια	1	Στάθμευση σε είσοδο/έξοδο πεζοδρόμου	\N
Ε1999Ν2696Α34Π3ια	2	Στάθμευση σε πεζόδρομο	\N
Ε1999Ν2696Α34Π6	1	Στάθμευση με γωνία προς την οριογραμμή	\N
Ε1999Ν2696Α34Π6	2	Στάθμευση στο αντίθετο ρεύμα κυκλοφορίας	\N
Ε1999Ν2696Α4Π3Ρ70	1	Στάθμευση σε χώρο στάθμευσης μονίμων κατοίκων	\N
Ε1999Ν2696Α4Π3Ρ70	2	Στάθμευση σε χώρο στάθμευσης ΤΑΞΙ	\N
